"ID_ENCUESTA" "ID_ENCUESTADO" "LOCALIDAD" "SEXO" "ESTRATO" "EDAD" "EDADRANGO" "P2" "P2_1" "P6" "P6_1" "P106" "P102" "P103" "P109" "P111" "P112" "P117" "P121" "P121_1_1" "P121_1_2" "P121_2" "P121_2_2" "P446" "P446_1" "P128" "P203" "P203_1_1" "P203_1_A" "P203_2" "P203_1_B" "P204_1" "P214_1" "P204_2" "P214_2" "P204_3" "P214_3" "P204_4" "P214_4" "P204_6" "P214_6" "P204_13" "P214_13" "P204_19" "P214_19" "P204_8" "P214_8" "P204_20" "P214_20" "P204_21" "P214_21" "P204_22" "P214_22" "P204_23" "P214_23" "P204_24" "P214_24" "P204_25" "P214_25" "P204_26" "P214_26" "P204_27" "P214_27" "P204_28" "P214_28" "P204_29" "P214_29" "P204_1_1" "P204_1_1_1" "P208_1" "P208_2" "P208_3" "P208_4" "P208_5" "P208_6" "P208_OTRO" "P208_OTRO_1" "P207" "P207_1" "P230" "P233" "P234_1" "P234_2" "P234_4" "P234_5" "P234_6" "P234_11" "P234_14" "P234_17" "P234_18" "P234_19" "P234_20" "P234_21" "P234_22" "P234_23" "P234_24" "P234_25" "P234_26" "P234_27" "P234_28" "P234_29" "P234_30" "P449" "P305" "P308" "P450_1" "P450_2" "P450_3" "P450_4" "P450_5" "P401_1_1" "P405" "P407_1" "P407_2" "P407_3" "P407_1_1" "P412_1" "P412_2" "P412_3" "P412_4" "P412_5" "P412_6" "P417" "P421" "P444" "FEX" "_UUID" "_INDEX"
"020SEG_Percepción_y_Victimización_en_Bogotá" "184106484" 5 1 1 62 5 1 NA 2 NA 4 2 2 1 5 8 3 1 1 20 1 5 2 4 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 2 2 2 2 2 1 1 2 5 1 1 1 1 3 3 1 1 2 NA NA NA NA NA NA NA NA NA NA 1 1 2 471.489788867562 "73efbf14-8572-4439-ba6e-051f757ed567" 3519
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215366" 4 1 1 28 2 1 NA 1 NA 4 2 2 2 2 1 3 1 1 3 1 3 2 2 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 2 NA 1 1 1 1 1 4 1 1 1 1 1 5 4 5 5 4 5 2 NA 2 471.489788867562 "750e673c-2e7b-4f6a-9814-07413bd0b24d" 2621
"020SEG_Percepción_y_Victimización_en_Bogotá" "183216427" 4 1 1 50 4 2 NA 2 NA 4 2 2 2 2 2 3 1 1 3 1 3 2 4 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 1 2 NA 2 3 2 2 3 3 1 1 2 1 1 NA NA NA NA NA NA 2 NA 2 471.489788867562 "3ca672fc-809e-4e6f-bf50-6e98431ce207" 2629
"020SEG_Percepción_y_Victimización_en_Bogotá" "183214698" 4 1 1 63 5 1 NA 3 NA 4 1 2 3 2 1 7 1 2 NA 1 3 2 1 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA 3 2 2 3 2 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "3446e649-2b24-48cd-8db1-f35a4083682d" 2600
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215361" 4 1 1 67 5 1 NA 2 NA 4 2 2 1 3 NA 22 1 2 NA 1 3 2 6 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 NA 2 2 2 2 2 2 2 NA NA NA NA NA NA NA NA NA NA 2 NA 1 471.489788867562 "b6b98574-f813-4a6f-aa9e-51a0fc5d2541" 2616
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215370" 4 1 1 59 5 3 NA 2 NA 4 1 2 4 2 1 1 1 2 NA 1 2 2 1 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 2 2 2 2 2 2 2 1 5 2 NA 1 2 1 1 2 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "4774cf21-8b79-487e-9ff3-c9a195b7911f" 2625
"020SEG_Percepción_y_Victimización_en_Bogotá" "184126780" 5 1 1 55 4 1 NA 2 NA 4 2 2 5 2 8 1 1 1 2 1 1 2 1 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA 1 2 2 2 2 1 1 1 2 1 1 NA NA NA NA NA NA 2 NA 2 471.489788867562 "5c841db6-1a58-4ab3-9e88-46d15017ebe5" 3674
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218457" 4 1 1 32 2 2 NA 2 NA 5 1 2 2 2 2 7 1 1 1 1 1 1 NA 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 1 1 2 2 2 1 2 1 1 2 1 1 2 1 2 2 1 2 2 2 1 1 1 3 3 3 1 1 1 4 1 1 1 2 2 4 4 3 4 3 4 2 NA 2 471.489788867562 "334d5e4d-8c0e-4768-9f28-9cc263e8a662" 2668
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218458" 4 1 1 38 3 1 NA 2 NA 5 1 2 4 2 6 1 1 2 NA 1 1 2 6 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA 3 3 3 2 3 2 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "63bf4ccf-a2be-420d-874b-da9daa0b3ad6" 2669
"020SEG_Percepción_y_Victimización_en_Bogotá" "184496212" 5 1 1 65 5 2 NA 3 NA 4 2 2 2 2 6 4 1 2 NA 1 1 2 6 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA 3 3 3 3 3 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "93e7d341-eb80-483f-9388-6b8570b051f0" 4036
"020SEG_Percepción_y_Victimización_en_Bogotá" "184116528" 5 1 1 23 1 1 NA 2 NA 4 1 2 1 2 6 4 1 1 3 2 NA 1 NA 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 5 1 1 2 2 3 1 2 1 1 1 2 2 1 NA NA NA NA NA NA 2 NA 2 471.489788867562 "976e6262-1f67-4c6d-8178-ebe3fea799c5" 3590
"020SEG_Percepción_y_Victimización_en_Bogotá" "183214687" 4 1 1 47 4 4 NA 2 NA 4 1 2 5 2 8 21 1 1 2 2 NA 2 4 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 NA 3 2 1 3 2 3 1 1 2 1 3 NA NA NA NA NA NA 2 NA 1 471.489788867562 "3da48e5a-c22d-4a82-a3f0-8addde76c6c3" 2593
"020SEG_Percepción_y_Victimización_en_Bogotá" "183214697" 4 1 1 26 2 3 NA 1 NA 4 2 2 6 3 NA 1 1 1 2 2 NA 1 NA 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA 2 2 2 2 2 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "dc13a953-edd9-4f0d-b6eb-e507cf786fe7" 2599
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215364" 4 1 1 46 4 1 NA 1 NA 4 1 2 2 3 NA 1 1 1 2 2 NA 2 4 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 2 1 1 2 2 1 2 1 2 1 1 2 1 2 2 2 2 2 2 2 2 5 2 NA 3 3 2 3 3 3 1 1 2 1 4 NA NA NA NA NA NA 2 NA 2 471.489788867562 "8197127e-2de3-4e7e-b85e-19a28880e85f" 2619
"020SEG_Percepción_y_Victimización_en_Bogotá" "183216431" 4 1 1 74 6 1 NA 2 NA 4 2 2 1 2 8 1 1 1 2 2 NA 2 6 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA 2 2 2 2 2 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "37e58570-03ee-48a5-b17f-98e1e301178d" 2633
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218466" 4 1 1 50 4 3 NA 1 NA 4 1 2 2 2 8 7 1 1 2 2 NA 2 4 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 1 4 2 3 2 3 3 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "f2223bba-9357-4b6f-9715-8a9b41c54ab2" 2677
"020SEG_Percepción_y_Victimización_en_Bogotá" "184126792" 5 1 1 NA 2 1 NA 1 NA 4 1 2 5 1 NA 2 1 1 2 2 NA 1 NA 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 1 1 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 5 1 5 3 5 4 5 4 4 2 NA NA NA NA NA NA NA NA NA NA 1 4 2 471.489788867562 "bbad51fd-9671-4a46-b8e5-701c32232e44" 3682
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218459" 4 1 1 26 2 1 NA 4 NA 5 1 2 7 3 NA 3 1 1 1 2 NA 1 NA 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 1 5 2 NA 3 3 3 3 3 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "5bba6e54-a394-474c-9859-7272b05f61c5" 2670
"020SEG_Percepción_y_Victimización_en_Bogotá" "184116510" 5 1 1 19 1 3 NA 1 NA 4 1 2 1 5 8 17 1 1 1 2 NA 2 1 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 1 1 2 2 2 2 2 2 1 2 2 2 NA NA NA NA NA NA NA 1 2 2 471.489788867562 "2faf5b64-f636-4970-b1ed-27196f37770a" 3581
"020SEG_Percepción_y_Victimización_en_Bogotá" "182941191" 4 1 1 74 6 2 NA 3 NA 4 2 2 1 5 8 3 2 NA NA NA NA 2 6 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 4 4 2 2 2 2 3 2 NA NA NA NA NA NA NA NA NA NA 1 4 1 471.489788867562 "0bfb3809-40a6-4827-b52c-e85f872a596d" 1981
"020SEG_Percepción_y_Victimización_en_Bogotá" "183214706" 4 1 1 50 4 4 NA 1 NA 4 1 2 2 2 1 1 2 NA NA NA NA 2 5 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 2 NA 3 3 3 3 3 3 1 1 1 2 2 4 4 4 4 4 4 2 NA 2 471.489788867562 "1577d6b2-139b-41ac-b8ce-250da83428ee" 2606
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215355" 4 1 1 72 6 1 NA 6 NA 4 2 2 1 2 2 1 2 NA NA NA NA 2 6 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 NA 1 1 2 2 3 2 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "2b5c5946-a1f2-4064-a51a-37859bc05202" 2611
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215358" 4 1 1 67 5 1 NA 2 NA 5 2 2 1 2 5 3 2 NA NA NA NA 2 1 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 NA 3 3 4 3 3 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "60460185-e826-4d33-a0f8-60c7f489c063" 2613
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215362" 4 1 1 70 5 1 NA 2 NA 4 1 1 1 2 2 3 2 NA NA NA NA 1 NA 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 2 NA 4 4 4 4 4 4 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "06462e96-b51f-42ef-918b-65ad5bda9c42" 2617
"020SEG_Percepción_y_Victimización_en_Bogotá" "183215367" 4 1 1 56 5 2 NA 2 NA 4 2 2 1 2 1 1 2 NA NA NA NA 2 1 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 1 1 2 1 2 1 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 5 2 NA 3 3 3 2 2 3 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "41efecc0-f39b-4402-b853-ec812b481f0d" 2622
"020SEG_Percepción_y_Victimización_en_Bogotá" "183216428" 4 1 1 49 4 3 NA 3 NA 4 1 2 5 5 1 3 2 NA NA NA NA 1 NA 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 2 2 1 2 1 2 2 2 1 1 1 2 1 2 2 2 2 1 2 1 5 2 NA 1 2 2 2 3 3 1 1 1 1 1 5 4 4 5 4 4 1 4 1 471.489788867562 "a2d4f49a-07e3-45f5-8399-7b2d91f2cb08" 2630
"020SEG_Percepción_y_Victimización_en_Bogotá" "183218460" 4 1 1 67 5 96 "VIVE SOLO" 3 NA 4 2 2 1 2 8 1 2 NA NA NA NA 2 4 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 97 1 1 1 2 2 2 1 2 2 2 2 1 2 2 2 1 1 1 2 2 2 2 1 2 NA 1 1 1 1 1 2 2 NA NA NA NA NA NA NA NA NA NA 2 NA 2 471.489788867562 "4d0a2530-3a95-4579-ac05-ef7fd943dd95" 2671
